Date,Event,Category
7/18/1290,King Edward I expels all Jews from England,Politics & Government
11/28/1290,"Queen Eleanor of Castile dies, prompting the Eleanor Crosses",Politics & Government
5/18/1291,"Mamluk forces capture Acre, ending Crusader rule in the Holy Land",War & Military Conflict
5/28/1291,The last Crusader stronghold at Acre falls to the Mamluks,War & Military Conflict
8/1/1291,"Republic of Switerland founded, the oldest republic still existing",Politics & Government
1/1/1295,Marco Polo returns to Venice after 24 years traveling in Asia,Exploration & Discovery
1/1/1299,Osman I founds the Ottoman beylik in Anatolia,Politics & Government
1/14/1301,The Arpad dynasty of Hungary ends with the death of Andrew III,Politics & Government
5/20/1303,France and England sign the Treaty of Paris,Politics & Government
6/23/1305,Wallace ally William de Braose is captured by English forces,War & Military Conflict
8/23/1305,William Wallace is executed in London for treason,Crime & Assassination
3/25/1306,Robert the Bruce is crowned King of Scots at Scone,Politics & Government
10/13/1307,King Philip IV orders the mass arrest of the Knights Templar in France,Politics & Government
1/1/1309,Pope Clement V relocates the papacy to Avignon,Religion
6/19/1312,"King Edward II's favorite, Piers Gaveston, is executed by rebellious barons",Crime & Assassination
3/18/1314,The last Templar Grand Master is burned at the stake in Paris,Crime & Assassination
6/24/1314,Robert the Bruce wins Scottish independence at Bannockburn,Politics & Government
1/1/1315,The Great Famine begins devastating northern Europe,Disaster & Tragedy
11/19/1315,Swiss confederates rout Habsburg forces at Morgarten,War & Military Conflict
9/14/1321,Poet Dante Alighieri dies in Ravenna,"Arts, Literature & Media"
1/1/1324,Mansa Musa of the Mali Empire makes his famous pilgrimage to Mecca,Politics & Government
1/1/1325,The Aztecs found the city of Tenochtitlan,Politics & Government
1/22/1327,Edward II is deposed by Parliament in favor of his son,Politics & Government
1/25/1327,Edward III is crowned King of England,Politics & Government
9/21/1327,The deposed King Edward II is murdered at Berkeley Castle,Crime & Assassination
5/25/1333,The Kamakura shogunate falls in Japan,Politics & Government
1/1/1337,The Hundred Years' War begins between England and France,War & Military Conflict
1/1/1338,The Ashikaga shogunate is established in Japan,Politics & Government
6/24/1340,English ships destroy the French fleet at the Battle of Sluys,War & Military Conflict
4/8/1341,Poet Petrarch is crowned poet laureate in Rome,"Arts, Literature & Media"
8/26/1346,English longbowmen win the Battle of Crecy,War & Military Conflict
8/26/1346,Longbowmen devastate French cavalry at Crecy,War & Military Conflict
10/17/1346,Scottish King David II is captured at the Battle of Neville's Cross,War & Military Conflict
10/1/1347,The Black Death reaches Europe via Sicilian ports,Disaster & Tragedy
10/1/1347,"Genoese ships carrying the plague dock in Messina, Sicily",Disaster & Tragedy
1/25/1348,A massive earthquake strikes Friuli in northern Italy,Disaster & Tragedy
3/1/1349,"The Black Death reaches England, killing a third of the population",Disaster & Tragedy
8/22/1350,King Philip VI of France dies during the height of the Black Death,Politics & Government
2/2/1355,A tavern brawl in Oxford sparks the St. Scholastica Day riot,Crime & Assassination
9/19/1356,The Black Prince wins the Battle of Poitiers,War & Military Conflict
9/29/1364,English forces rout the French at the Battle of Auray,War & Military Conflict
1/6/1367,The future Richard II is born in Bordeaux,Politics & Government
1/1/1368,Zhu Yuanzhang founds the Ming dynasty in China,Politics & Government
6/8/1376,Edward the Black Prince dies before taking the throne,Politics & Government
1/17/1377,Pope Gregory XI returns the papacy from Avignon to Rome,Religion
7/16/1377,Richard II is crowned King of England,Politics & Government
1/1/1378,The Western Schism begins as rival popes claim the papacy,Religion
9/8/1380,Russian forces defeat the Golden Horde at the Battle of Kulikovo,War & Military Conflict
6/12/1381,Rebels led by Wat Tyler storm the Tower of London,War & Military Conflict
6/15/1381,Peasants storm London during the Peasants' Revolt,War & Military Conflict
6/15/1381,Wat Tyler is killed while negotiating with King Richard II,Crime & Assassination
1/1/1386,The Union of Krewo joins Poland and Lithuania,Politics & Government
6/15/1389,Ottoman forces defeat Serbian forces at the Battle of Kosovo,War & Military Conflict
1/1/1392,Yi Seong-gye founds the Joseon dynasty in Korea,Politics & Government
4/17/1397,"The Union of Kalmar unites Denmark, Norway, and Sweden",Politics & Government
1/1/1398,Timur (Tamerlane) sacks Delhi,War & Military Conflict
10/13/1399,Henry IV is crowned King of England after deposing Richard II,Politics & Government
10/25/1400,Poet Geoffrey Chaucer dies,"Arts, Literature & Media"
7/20/1402,Timur defeats the Ottomans at the Battle of Ankara,War & Military Conflict
1/1/1405,Ming admiral Zheng He begins the first of his treasure voyages,Exploration & Discovery
12/2/1409,The University of Leipzig is founded,Politics & Government
7/15/1410,Polish-Lithuanian forces defeat the Teutonic Knights at the Battle of Grunwald,War & Military Conflict
1/6/1412,French heroine Joan of Arc born,War & Military Conflict
4/9/1413,Henry V becomes King of England,Politics & Government
7/6/1415,Reformer Jan Hus is burned at the stake for heresy,Crime & Assassination
8/21/1415,"Portuguese forces capture Ceuta, launching the Age of Exploration",War & Military Conflict
10/25/1415,English forces win the Battle of Agincourt,War & Military Conflict
11/11/1417,"The Council of Constance elects Pope Martin V, ending the Great Schism",Religion
1/19/1419,French forces surrender Rouen to Henry V of England,War & Military Conflict
7/14/1420,Hussite rebels defeat crusaders at the Battle of Vitkov Hill,War & Military Conflict
1/1/1421,The Ming dynasty moves its capital to Beijing,Politics & Government
9/1/1422,The infant Henry VI becomes King of England,Politics & Government
1/1/1428,The Aztec Triple Alliance is formed,Politics & Government
6/18/1429,Joan of Arc leads French forces to victory at Patay,War & Military Conflict
5/23/1430,Joan of Arc is captured by Burgundian forces,War & Military Conflict
5/30/1431,Joan of Arc is burned at the stake in Rouen,War & Military Conflict
1/1/1434,Cosimo de' Medici becomes the de facto ruler of Florence,Politics & Government
11/10/1444,Ottoman forces defeat a Christian crusade at the Battle of Varna,War & Military Conflict
10/31/1451,Explorer Christopher Columbus is born in Genoa,Exploration & Discovery
4/15/1452,Leonardo da Vinci is born,"Arts, Literature & Media"
5/29/1453,"Constantinople falls to the Ottoman Turks, ending the Byzantine Empire",War & Military Conflict
7/17/1453,Hundred Years' War ends with French victory at Castillon,War & Military Conflict
2/23/1455,Johannes Gutenberg begins printing his 42-line Bible,Religion
5/22/1455,The Wars of the Roses begin with the First Battle of St Albans,War & Military Conflict
8/24/1456,"The Gutenberg Bible is completed, the first major book printed with movable type",Religion
6/28/1461,Edward IV is crowned King of England after the Battle of Towton,Politics & Government
1/1/1462,"Ivan III becomes Grand Prince of Moscow, beginning Russia's rise",Politics & Government
10/19/1469,"Ferdinand of Aragon marries Isabella of Castile, uniting Spain",Politics & Government
3/6/1475,Sculptor and painter Michelangelo is born near Arezzo,"Arts, Literature & Media"
1/1/1478,The Spanish Inquisition is established by Ferdinand and Isabella,Religion
1/1/1480,Ivan III ends Mongol rule over Russia at the Great Stand on the Ugra River,War & Military Conflict
7/6/1483,King Richard III of England is crowned,Politics & Government
8/30/1483,King Louis XI of France dies,Politics & Government
11/10/1483,Reformer Martin Luther is born,Religion
8/22/1485,"Richard III is killed at the Battle of Bosworth Field, ending the Wars of the Roses",War & Military Conflict
6/16/1487,Portuguese explorer Bartolomeu Dias departs to round the southern tip of Africa,Exploration & Discovery
2/3/1488,Bartolomeu Dias rounds the Cape of Good Hope,Exploration & Discovery
3/14/1489,Catherine Cornaro cedes the Kingdom of Cyprus to Venice,Politics & Government
1/2/1492,"Spanish forces capture Granada, ending Muslim rule in Spain",War & Military Conflict
4/17/1492,Spain's monarchs sign the agreement funding Columbus's voyage,Exploration & Discovery
8/3/1492,Christopher Columbus sets sail from Spain,Exploration & Discovery
8/11/1492,Rodrigo Borgia is elected Pope Alexander VI,Religion
10/12/1492,Christopher Columbus lands in the Bahamas,Exploration & Discovery
10/12/1492,Land is sighted after weeks at sea on Columbus's first voyage,Exploration & Discovery
3/15/1493,Columbus returns to Spain from his first voyage,Exploration & Discovery
6/7/1494,Treaty of Tordesillas divides New World lands between Spain and Portugal,Politics & Government
3/9/1497,John Cabot sets sail to explore North America,Exploration & Discovery
6/24/1497,John Cabot sights land in North America,Exploration & Discovery
5/20/1498,Vasco da Gama reaches India by sea,Exploration & Discovery
5/31/1498,Columbus departs on his third voyage to the New World,Exploration & Discovery
1/1/1499,Guru Nanak begins preaching the teachings that found Sikhism,Religion
3/9/1500,Vasco da Gama's fleet departs Lisbon for India,Exploration & Discovery
4/22/1500,Pedro Alvares Cabral becomes the first European to reach Brazil,Exploration & Discovery
1/1/1501,Ismail I founds the Safavid dynasty in Persia,Politics & Government
2/12/1502,Vasco da Gama sets sail on his second voyage to India,Exploration & Discovery
11/1/1503,Giuliano della Rovere is elected Pope Julius II,Religion
5/20/1506,"Christopher Columbus dies in Valladolid, Spain",Exploration & Discovery
6/24/1509,Henry VIII is crowned King of England alongside Catherine of Aragon,Politics & Government
1/1/1512,Michelangelo completes the Sistine Chapel ceiling,"Arts, Literature & Media"
2/22/1512,Explorer Amerigo Vespucci dies in Seville,Exploration & Discovery
3/11/1513,Giovanni de' Medici is elected Pope Leo X,Religion
4/8/1513,Ponce de Leon claims Florida for Spain,Exploration & Discovery
9/24/1513,Balboa's expedition first sights the Pacific Ocean from a Panamanian peak,Exploration & Discovery
9/25/1513,Vasco Nunez de Balboa becomes the first European to sight the Pacific from the Americas,Exploration & Discovery
1/1/1517,"Ottoman forces conquer Egypt, ending the Mamluk Sultanate",War & Military Conflict
10/31/1517,"Martin Luther posts his 95 Theses, triggering the Protestant Reformation",Religion
5/2/1519,"Leonardo da Vinci dies in Amboise, France","Arts, Literature & Media"
6/24/1519,Charles I of Spain is elected Holy Roman Emperor,Politics & Government
9/20/1519,Ferdinand Magellan's fleet departs Spain to circumnavigate the globe,Exploration & Discovery
11/8/1519,Hernan Cortes meets Aztec emperor Montezuma II,Politics & Government
4/6/1520,Raphael dies in Rome on his birthday,"Arts, Literature & Media"
10/21/1520,Ferdinand Magellan's fleet enters the strait later named for him,Exploration & Discovery
11/28/1520,Magellan's fleet enters the Pacific Ocean through the strait bearing his name,Exploration & Discovery
1/3/1521,Pope Leo X excommunicates Martin Luther,Religion
4/17/1521,Martin Luther defends his teachings before the Diet of Worms,Religion
4/27/1521,Explorer Ferdinand Magellan is killed in the Philippines,Exploration & Discovery
8/13/1521,Spanish conqerors take Tenochtitlan (now Mexico City) from the Aztecs,War & Military Conflict
9/6/1522,Ferdinand Magellan's expedition completes first circumnavigation of the globe,Exploration & Discovery
4/21/1526,"Babur defeats the Delhi Sultanate at the Battle of Panipat, founding the Mughal Empire",War & Military Conflict
9/27/1529,Ottoman forces besiege Vienna,War & Military Conflict
11/16/1532,Inca Empire falls to Spaniard Pizarro,War & Military Conflict
1/25/1533,Henry VIII secretly marries Anne Boleyn,Politics & Government
6/1/1533,Anne Boleyn is crowned Queen of England,Politics & Government
9/7/1533,England's Elizabeth I is born,Politics & Government
10/13/1534,"Alessandro Farnese is elected Pope Paul III, who later convenes the Council of Trent",Religion
11/1/1534,Henry VIII's Act of Supremacy establishes the Church of England,Religion
7/6/1535,Sir Thomas More is executed for refusing to accept Henry VIII as church head,Crime & Assassination
5/6/1536,Henry VIII orders the dissolution of the smaller English monasteries,Religion
5/19/1536,Anne Boleyn is executed on charges of treason,Crime & Assassination
10/12/1537,"King Henry VIII's son, the future Edward VI, is born",Politics & Government
1/6/1540,Henry VIII marries Anne of Cleves,Politics & Government
7/28/1540,Thomas Cromwell is executed on Henry VIII's orders,Crime & Assassination
5/8/1541,Hernando de Soto's expedition reaches the Mississippi River,Exploration & Discovery
6/24/1541,Explorer Francisco de Orellana begins his voyage down the Amazon River,Exploration & Discovery
1/1/1543,Nicolaus Copernicus publishes his heliocentric theory in De revolutionibus,Science & Technology
7/12/1543,"Henry VIII marries his sixth wife, Catherine Parr",Politics & Government
3/11/1544,Poet Torquato Tasso is born,"Arts, Literature & Media"
12/13/1545,"The Council of Trent convenes, launching the Catholic Counter-Reformation",Religion
2/18/1546,Reformer Martin Luther dies in Eisleben,Religion
1/16/1547,Ivan IV is crowned the first Tsar of Russia,Politics & Government
1/28/1547,Henry VIII of England dies,Politics & Government
7/6/1553,King Edward VI of England dies,Politics & Government
7/10/1553,Lady Jane Grey is proclaimed Queen of England for nine days,Politics & Government
7/19/1553,"Mary Tudor is proclaimed Queen, deposing Lady Jane Grey",Politics & Government
2/12/1554,Lady Jane Grey is executed at the Tower of London,Crime & Assassination
9/25/1555,The Peace of Augsburg allows German princes to choose their state religion,Religion
10/25/1555,Charles V abdicates as Holy Roman Emperor,Politics & Government
1/1/1557,Portuguese traders establish a settlement at Macau,Exploration & Discovery
11/17/1558,Elizabeth I becomes Queen of England,Politics & Government
3/1/1562,The Massacre of Vassy begins the French Wars of Religion,War & Military Conflict
2/15/1564,Astronomer Galileo Galilei is born in Pisa,Science & Technology
2/18/1564,Sculptor and painter Michelangelo dies in Rome,"Arts, Literature & Media"
4/23/1564,WIlliam Shakespeare was born,"Arts, Literature & Media"
9/8/1565,"St. Augustine, FL founded, first permanent European settlement in North America",Politics & Government
1/1/1568,The Dutch revolt against Spanish rule begins the Eighty Years' War,War & Military Conflict
2/25/1570,Pope Pius V excommunicates Queen Elizabeth I,Religion
9/8/1571,Ottoman forces are decisively defeated at the Battle of Lepanto,War & Military Conflict
10/7/1571,Christian forces defeat the Ottoman fleet at the Battle of Lepanto,War & Military Conflict
8/18/1572,Huguenot leader Coligny survives an assassination attempt in Paris,Crime & Assassination
8/24/1572,The St. Bartholomew's Day massacre begins in Paris,Crime & Assassination
5/31/1578,Composer Orlando di Lasso is celebrated across European courts,"Arts, Literature & Media"
9/26/1580,"Francis Drake completes his circumnavigation, returning to Plymouth",Exploration & Discovery
4/4/1581,Frances Drake completes circumnavigation of the world,Exploration & Discovery
2/24/1582,Pope Gregory XIII introduces the Gregorian calendar,Religion
7/10/1584,William the Silent is assassinated in Delft,Crime & Assassination
7/10/1584,A Catholic assassin shoots William of Orange,Crime & Assassination
2/8/1587,Mary Queen of Scots beheaded,Crime & Assassination
7/29/1588,English ships begin the decisive battle against the Spanish Armada,War & Military Conflict
8/8/1588,The Spanish Armada is defeated by the English fleet,War & Military Conflict
8/2/1589,King Henry III of France is assassinated,Crime & Assassination
8/18/1590,Explorer John White returns to find the Roanoke colony abandoned,Exploration & Discovery
4/13/1598,The Edict of Nantes grants religious toleration to French Protestants,Religion
12/31/1600,Queen Elizabeth I charters the British East India Company,Politics & Government
12/31/1600,Queen Elizabeth I charters the English East India Company,Business & Economy
3/20/1602,The Dutch East India Company is founded,Business & Economy
3/24/1603,"King James VI of Scotland becomes James I of England, uniting the crowns",Politics & Government
3/24/1603,"James VI of Scotland becomes James I of England, uniting the crowns",Politics & Government
1/16/1605,Miguel de Cervantes publishes the first part of Don Quixote,"Arts, Literature & Media"
11/5/1605,Guy Fawkes is arrested in the Gunpowder Plot,Crime & Assassination
11/5/1605,The Gunpowder Plot to blow up Parliament is foiled in London,Crime & Assassination
5/13/1607,Colonists land at Jamestown to establish the first permanent settlement,Politics & Government
5/14/1607,"English colonists found Jamestown, Virginia",Politics & Government
4/9/1609,Spain and the Dutch Republic sign a twelve-year truce,Politics & Government
5/14/1610,King Henry IV of France is assassinated,Crime & Assassination
5/14/1610,King Henry IV of France is assassinated in Paris,Crime & Assassination
1/1/1611,The King James Bible is first published,Religion
6/23/1611,Henry Hudson is set adrift by mutineers in the bay that bears his name,War & Military Conflict
11/6/1612,"Prince Henry, heir to the English throne, dies of typhoid",Politics & Government
4/14/1614,Pochahontas marries John Rolfe,Politics & Government
4/23/1616,Playwright William Shakespeare dies,"Arts, Literature & Media"
4/23/1616,William Shakespeare dies in Stratford-upon-Avon,"Arts, Literature & Media"
5/23/1618,The Defenestration of Prague sparks the Thirty Years' War,War & Military Conflict
8/1/1619,"The first enslaved Africans are brought to English North America at Point Comfort, Virginia",Civil Rights & Social Movement
9/6/1620,The Mayflower departs England carrying the Pilgrims,Exploration & Discovery
9/16/1620,"The Mayflower departs Plymouth, England for the New World",Exploration & Discovery
11/11/1620,The Mayflower Compact is signed aboard ship,Exploration & Discovery
11/21/1620,The Mayflower Compact was signed,Exploration & Discovery
12/11/1620,103 pilgrims land at Plymouth Rock,Exploration & Discovery
12/21/1620,Pilgrims land at Plymouth Rock,Exploration & Discovery
12/26/1620,Pilgrims choose the site of Plymouth Colony,Exploration & Discovery
3/22/1622,Powhatan warriors attack Jamestown settlers,War & Military Conflict
3/27/1625,King James I of England dies,Politics & Government
5/24/1626,Peter Minuit purchases Manhattan Island from the Lenape,Politics & Government
6/21/1633,Galileo is forced by the Inquisition to recant heliocentrism,Religion
1/1/1636,"Harvard College is founded, the first institution of higher learning in America",Politics & Government
1/4/1642,Sir Isaac Newton is born,Science & Technology
1/8/1642,Astronomer Galileo Galilei dies,Science & Technology
8/22/1642,The English Civil War begins,War & Military Conflict
11/24/1642,Explorer Abel Tasman sights the island later named Tasmania,Exploration & Discovery
12/25/1642,Physicist Isaac Newton is born,Science & Technology
7/10/1645,Parliamentary forces win a decisive victory at Naseby,Politics & Government
10/24/1648,The Peace of Westphalia ends the Thirty Years' War,War & Military Conflict
1/30/1649,King Charles I of England is executed,Crime & Assassination
9/3/1650,Cromwell defeats Scottish royalists at the Battle of Dunbar,War & Military Conflict
9/3/1651,Oliver Cromwell defeats Charles II at the Battle of Worcester,War & Military Conflict
12/16/1653,Oliver Cromwell becomes Lord Protector of England,Politics & Government
5/8/1660,The English Parliament proclaims the restoration of the monarchy,Politics & Government
5/29/1660,The English monarchy is restored under Charles II,Politics & Government
5/29/1660,The English monarchy is restored under King Charles II,Politics & Government
1/30/1661,The body of Oliver Cromwell is exhumed and symbolically executed,Crime & Assassination
9/8/1664,"The Dutch surrender New Amsterdam to the English, who rename it New York",War & Military Conflict
1/1/1665,The Great Plague of London kills tens of thousands,Disaster & Tragedy
9/2/1666,The Great Fire of London begins,Disaster & Tragedy
9/2/1666,The Great Fire of London destroys much of the medieval city,Disaster & Tragedy
1/1/1667,John Milton publishes Paradise Lost,"Arts, Literature & Media"
5/2/1670,The Hudson's Bay Company is chartered,Politics & Government
3/4/1678,Composer Antonio Vivaldi is born,"Arts, Literature & Media"
3/4/1681,William Penn granted charter for Pennsylvania,Politics & Government
4/9/1682,"Robert Cavelier de La Salle claims the Mississippi basin for France, naming it Louisiana",Exploration & Discovery
9/15/1682,Halley's Comet is observed on the pass that leads Edmond Halley to predict its return,Space & Astronomy
2/6/1685,King Charles II of England dies,Politics & Government
3/21/1685,Composer Johann Sebastian Bach is born,"Arts, Literature & Media"
7/6/1685,James II's forces crush the Monmouth Rebellion at Sedgemoor,War & Military Conflict
10/18/1685,"Louis XIV revokes the Edict of Nantes, expelling Huguenots",Religion
7/5/1687,Isaac Newton publishes his Principia Mathematica,Science & Technology
11/5/1688,"William of Orange lands in England, starting the Glorious Revolution",War & Military Conflict
2/13/1689,William III and Mary II are jointly proclaimed King and Queen of England,Politics & Government
8/27/1689,"Russia and China sign the Treaty of Nerchinsk, their first formal border agreement",Politics & Government
12/16/1689,The English Bill of Rights is enacted,Politics & Government
7/1/1690,William III defeats James II at the Battle of the Boyne,War & Military Conflict
7/12/1690,The Battle of the Boyne is fought in Ireland,War & Military Conflict
2/29/1692,The Salem witch trials begin in Massachusetts,Crime & Assassination
6/2/1692,The first Salem witch trial verdict sentences Bridget Bishop,Crime & Assassination
9/22/1692,The last executions take place during the Salem witch trials,Crime & Assassination
9/11/1697,Prince Eugene of Savoy defeats the Ottomans at the Battle of Zenta,War & Military Conflict
1/26/1699,The Treaty of Karlowitz forces the Ottomans to cede large territories to the Habsburgs,Politics & Government
1/26/1700,"A massive earthquake strikes the Pacific Northwest, later confirmed by Japanese tsunami records",Disaster & Tragedy
3/8/1702,Anne becomes Queen of Great Britain,Politics & Government
1/17/1706,Benjamin Franklin is born,Politics & Government
1/1/1707,The Acts of Union join England and Scotland into the Kingdom of Great Britain,Politics & Government
5/1/1707,The Acts of Union join England and Scotland into Great Britain,Politics & Government
7/8/1709,"Russia defeats Sweden at the Battle of Poltava, ending Swedish dominance in the Baltic",War & Military Conflict
6/28/1712,Philosopher Jean-Jacques Rousseau is born,"Arts, Literature & Media"
4/11/1713,The Treaty of Utrecht ends the War of Spanish Succession,War & Military Conflict
4/11/1713,The Treaty of Utrecht ends the War of the Spanish Succession,Politics & Government
8/1/1714,George I becomes the first Hanoverian King of Great Britain,Politics & Government
8/1/1714,"George I becomes King of Great Britain, beginning the Hanoverian dynasty",Politics & Government
1/1/1721,The Great Northern War ends with the Treaty of Nystad,Politics & Government
1/1/1722,Afghan invaders topple the Safavid dynasty in Persia,War & Military Conflict
1/1/1723,The Yongzheng Emperor begins his reign in Qing China,Politics & Government
11/8/1731,Benjamin Franklin opens the first public library in Philadelphia,"Arts, Literature & Media"
2/22/1732,President George Washington is born,Politics & Government
1/1/1736,Nader Shah becomes Shah of Persia,Politics & Government
5/24/1738,"John Wesley experiences his evangelical conversion, founding Methodism",Religion
3/13/1739,Nader Shah's forces sack Delhi,War & Military Conflict
1/1/1740,"Frederick the Great becomes King of Prussia, soon sparking the War of the Austrian Succession",Politics & Government
4/13/1743,President Thomas Jefferson is born,Politics & Government
6/15/1752,Benjamin Franklin conducts his kite experiment on electricity,Science & Technology
5/28/1754,The French and Indian War begins in North America,War & Military Conflict
11/1/1755,The Great Lisbon Earthquake devastates Portugal,Disaster & Tragedy
11/1/1755,A massive quake and tsunami devastate Lisbon on All Saints' Day,Disaster & Tragedy
11/1/1755,"A massive earthquake and tsunami devastate Lisbon, Portugal",Disaster & Tragedy
1/27/1756,Composer Wolfgang Amadeus Mozart is born,"Arts, Literature & Media"
6/23/1757,The British East India Company gains control of Bengal at the Battle of Plassey,War & Military Conflict
9/13/1759,British forces defeat the French at the Battle of Quebec,War & Military Conflict
