Level1,Level2,Level3,Description
Alpha10,A5,,Alpha10/A5 - depth-2 leaf (uniform-shallow branch 10 of 10)
Alpha10,A6,,Alpha10/A6 - depth-2 leaf (uniform-shallow branch 10 of 10)
Beta1,B1,B1-1,Beta1/B1/B1-1 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B1,B1-2,Beta1/B1/B1-2 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B1,B1-3,Beta1/B1/B1-3 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B1,B1-4,Beta1/B1/B1-4 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B2,B2-1,Beta1/B2/B2-1 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B3,B3-1,Beta1/B3/B3-1 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B3,B3-2,Beta1/B3/B3-2 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B3,B3-3,Beta1/B3/B3-3 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B3,B3-4,Beta1/B3/B3-4 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B3,B3-5,Beta1/B3/B3-5 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B3,B3-6,Beta1/B3/B3-6 - depth-3 leaf (uneven-width branch 1 of 10)
Beta1,B3,B3-7,Beta1/B3/B3-7 - depth-3 leaf (uneven-width branch 1 of 10)
Beta2,B1,B1-1,Beta2/B1/B1-1 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B1,B1-2,Beta2/B1/B1-2 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B1,B1-3,Beta2/B1/B1-3 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B1,B1-4,Beta2/B1/B1-4 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B2,B2-1,Beta2/B2/B2-1 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B3,B3-1,Beta2/B3/B3-1 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B3,B3-2,Beta2/B3/B3-2 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B3,B3-3,Beta2/B3/B3-3 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B3,B3-4,Beta2/B3/B3-4 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B3,B3-5,Beta2/B3/B3-5 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B3,B3-6,Beta2/B3/B3-6 - depth-3 leaf (uneven-width branch 2 of 10)
Beta2,B3,B3-7,Beta2/B3/B3-7 - depth-3 leaf (uneven-width branch 2 of 10)
Beta3,B1,B1-1,Beta3/B1/B1-1 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B1,B1-2,Beta3/B1/B1-2 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B1,B1-3,Beta3/B1/B1-3 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B1,B1-4,Beta3/B1/B1-4 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B2,B2-1,Beta3/B2/B2-1 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B3,B3-1,Beta3/B3/B3-1 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B3,B3-2,Beta3/B3/B3-2 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B3,B3-3,Beta3/B3/B3-3 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B3,B3-4,Beta3/B3/B3-4 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B3,B3-5,Beta3/B3/B3-5 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B3,B3-6,Beta3/B3/B3-6 - depth-3 leaf (uneven-width branch 3 of 10)
Beta3,B3,B3-7,Beta3/B3/B3-7 - depth-3 leaf (uneven-width branch 3 of 10)
Beta4,B1,B1-1,Beta4/B1/B1-1 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B1,B1-2,Beta4/B1/B1-2 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B1,B1-3,Beta4/B1/B1-3 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B1,B1-4,Beta4/B1/B1-4 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B2,B2-1,Beta4/B2/B2-1 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B3,B3-1,Beta4/B3/B3-1 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B3,B3-2,Beta4/B3/B3-2 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B3,B3-3,Beta4/B3/B3-3 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B3,B3-4,Beta4/B3/B3-4 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B3,B3-5,Beta4/B3/B3-5 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B3,B3-6,Beta4/B3/B3-6 - depth-3 leaf (uneven-width branch 4 of 10)
Beta4,B3,B3-7,Beta4/B3/B3-7 - depth-3 leaf (uneven-width branch 4 of 10)
Beta5,B1,B1-1,Beta5/B1/B1-1 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B1,B1-2,Beta5/B1/B1-2 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B1,B1-3,Beta5/B1/B1-3 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B1,B1-4,Beta5/B1/B1-4 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B2,B2-1,Beta5/B2/B2-1 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B3,B3-1,Beta5/B3/B3-1 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B3,B3-2,Beta5/B3/B3-2 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B3,B3-3,Beta5/B3/B3-3 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B3,B3-4,Beta5/B3/B3-4 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B3,B3-5,Beta5/B3/B3-5 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B3,B3-6,Beta5/B3/B3-6 - depth-3 leaf (uneven-width branch 5 of 10)
Beta5,B3,B3-7,Beta5/B3/B3-7 - depth-3 leaf (uneven-width branch 5 of 10)
Beta6,B1,B1-1,Beta6/B1/B1-1 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B1,B1-2,Beta6/B1/B1-2 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B1,B1-3,Beta6/B1/B1-3 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B1,B1-4,Beta6/B1/B1-4 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B2,B2-1,Beta6/B2/B2-1 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B3,B3-1,Beta6/B3/B3-1 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B3,B3-2,Beta6/B3/B3-2 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B3,B3-3,Beta6/B3/B3-3 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B3,B3-4,Beta6/B3/B3-4 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B3,B3-5,Beta6/B3/B3-5 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B3,B3-6,Beta6/B3/B3-6 - depth-3 leaf (uneven-width branch 6 of 10)
Beta6,B3,B3-7,Beta6/B3/B3-7 - depth-3 leaf (uneven-width branch 6 of 10)
Beta7,B1,B1-1,Beta7/B1/B1-1 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B1,B1-2,Beta7/B1/B1-2 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B1,B1-3,Beta7/B1/B1-3 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B1,B1-4,Beta7/B1/B1-4 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B2,B2-1,Beta7/B2/B2-1 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B3,B3-1,Beta7/B3/B3-1 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B3,B3-2,Beta7/B3/B3-2 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B3,B3-3,Beta7/B3/B3-3 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B3,B3-4,Beta7/B3/B3-4 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B3,B3-5,Beta7/B3/B3-5 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B3,B3-6,Beta7/B3/B3-6 - depth-3 leaf (uneven-width branch 7 of 10)
Beta7,B3,B3-7,Beta7/B3/B3-7 - depth-3 leaf (uneven-width branch 7 of 10)
Beta8,B1,B1-1,Beta8/B1/B1-1 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B1,B1-2,Beta8/B1/B1-2 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B1,B1-3,Beta8/B1/B1-3 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B1,B1-4,Beta8/B1/B1-4 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B2,B2-1,Beta8/B2/B2-1 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B3,B3-1,Beta8/B3/B3-1 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B3,B3-2,Beta8/B3/B3-2 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B3,B3-3,Beta8/B3/B3-3 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B3,B3-4,Beta8/B3/B3-4 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B3,B3-5,Beta8/B3/B3-5 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B3,B3-6,Beta8/B3/B3-6 - depth-3 leaf (uneven-width branch 8 of 10)
Beta8,B3,B3-7,Beta8/B3/B3-7 - depth-3 leaf (uneven-width branch 8 of 10)
Beta9,B1,B1-1,Beta9/B1/B1-1 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B1,B1-2,Beta9/B1/B1-2 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B1,B1-3,Beta9/B1/B1-3 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B1,B1-4,Beta9/B1/B1-4 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B2,B2-1,Beta9/B2/B2-1 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B3,B3-1,Beta9/B3/B3-1 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B3,B3-2,Beta9/B3/B3-2 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B3,B3-3,Beta9/B3/B3-3 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B3,B3-4,Beta9/B3/B3-4 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B3,B3-5,Beta9/B3/B3-5 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B3,B3-6,Beta9/B3/B3-6 - depth-3 leaf (uneven-width branch 9 of 10)
Beta9,B3,B3-7,Beta9/B3/B3-7 - depth-3 leaf (uneven-width branch 9 of 10)
Beta10,B1,B1-1,Beta10/B1/B1-1 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B1,B1-2,Beta10/B1/B1-2 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B1,B1-3,Beta10/B1/B1-3 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B1,B1-4,Beta10/B1/B1-4 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B2,B2-1,Beta10/B2/B2-1 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B3,B3-1,Beta10/B3/B3-1 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B3,B3-2,Beta10/B3/B3-2 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B3,B3-3,Beta10/B3/B3-3 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B3,B3-4,Beta10/B3/B3-4 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B3,B3-5,Beta10/B3/B3-5 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B3,B3-6,Beta10/B3/B3-6 - depth-3 leaf (uneven-width branch 10 of 10)
Beta10,B3,B3-7,Beta10/B3/B3-7 - depth-3 leaf (uneven-width branch 10 of 10)
Gamma1,G1,G1-1,Gamma1/G1/G1-1 - depth-3 leaf (mixed-depth branch 1 of 10)
Gamma1,G1,G1-2,Gamma1/G1/G1-2 - depth-3 leaf (mixed-depth branch 1 of 10)
Gamma1,G1,G1-3,Gamma1/G1/G1-3 - depth-3 leaf (mixed-depth branch 1 of 10)
Gamma1,G2,,Gamma1/G2 event A - depth-2 leaf sharing a node (branch 1 of 10)
Gamma1,G2,,Gamma1/G2 event B - second event on the same shared leaf (branch 1 of 10)
Gamma2,G1,G1-1,Gamma2/G1/G1-1 - depth-3 leaf (mixed-depth branch 2 of 10)
Gamma2,G1,G1-2,Gamma2/G1/G1-2 - depth-3 leaf (mixed-depth branch 2 of 10)
Gamma2,G1,G1-3,Gamma2/G1/G1-3 - depth-3 leaf (mixed-depth branch 2 of 10)
Gamma2,G2,,Gamma2/G2 event A - depth-2 leaf sharing a node (branch 2 of 10)
Gamma2,G2,,Gamma2/G2 event B - second event on the same shared leaf (branch 2 of 10)
Gamma3,G1,G1-1,Gamma3/G1/G1-1 - depth-3 leaf (mixed-depth branch 3 of 10)
Gamma3,G1,G1-2,Gamma3/G1/G1-2 - depth-3 leaf (mixed-depth branch 3 of 10)
Gamma3,G1,G1-3,Gamma3/G1/G1-3 - depth-3 leaf (mixed-depth branch 3 of 10)
Gamma3,G2,,Gamma3/G2 event A - depth-2 leaf sharing a node (branch 3 of 10)
Gamma3,G2,,Gamma3/G2 event B - second event on the same shared leaf (branch 3 of 10)
Gamma4,G1,G1-1,Gamma4/G1/G1-1 - depth-3 leaf (mixed-depth branch 4 of 10)
Gamma4,G1,G1-2,Gamma4/G1/G1-2 - depth-3 leaf (mixed-depth branch 4 of 10)
Gamma4,G1,G1-3,Gamma4/G1/G1-3 - depth-3 leaf (mixed-depth branch 4 of 10)
Gamma4,G2,,Gamma4/G2 event A - depth-2 leaf sharing a node (branch 4 of 10)
Gamma4,G2,,Gamma4/G2 event B - second event on the same shared leaf (branch 4 of 10)
Gamma5,G1,G1-1,Gamma5/G1/G1-1 - depth-3 leaf (mixed-depth branch 5 of 10)
Gamma5,G1,G1-2,Gamma5/G1/G1-2 - depth-3 leaf (mixed-depth branch 5 of 10)
Gamma5,G1,G1-3,Gamma5/G1/G1-3 - depth-3 leaf (mixed-depth branch 5 of 10)
Gamma5,G2,,Gamma5/G2 event A - depth-2 leaf sharing a node (branch 5 of 10)
Gamma5,G2,,Gamma5/G2 event B - second event on the same shared leaf (branch 5 of 10)
Gamma6,G1,G1-1,Gamma6/G1/G1-1 - depth-3 leaf (mixed-depth branch 6 of 10)
Gamma6,G1,G1-2,Gamma6/G1/G1-2 - depth-3 leaf (mixed-depth branch 6 of 10)
Gamma6,G1,G1-3,Gamma6/G1/G1-3 - depth-3 leaf (mixed-depth branch 6 of 10)
Gamma6,G2,,Gamma6/G2 event A - depth-2 leaf sharing a node (branch 6 of 10)
Gamma6,G2,,Gamma6/G2 event B - second event on the same shared leaf (branch 6 of 10)
Gamma7,G1,G1-1,Gamma7/G1/G1-1 - depth-3 leaf (mixed-depth branch 7 of 10)
Gamma7,G1,G1-2,Gamma7/G1/G1-2 - depth-3 leaf (mixed-depth branch 7 of 10)
Gamma7,G1,G1-3,Gamma7/G1/G1-3 - depth-3 leaf (mixed-depth branch 7 of 10)
Gamma7,G2,,Gamma7/G2 event A - depth-2 leaf sharing a node (branch 7 of 10)
Gamma7,G2,,Gamma7/G2 event B - second event on the same shared leaf (branch 7 of 10)
Gamma8,G1,G1-1,Gamma8/G1/G1-1 - depth-3 leaf (mixed-depth branch 8 of 10)
Gamma8,G1,G1-2,Gamma8/G1/G1-2 - depth-3 leaf (mixed-depth branch 8 of 10)
Gamma8,G1,G1-3,Gamma8/G1/G1-3 - depth-3 leaf (mixed-depth branch 8 of 10)
Gamma8,G2,,Gamma8/G2 event A - depth-2 leaf sharing a node (branch 8 of 10)
Gamma8,G2,,Gamma8/G2 event B - second event on the same shared leaf (branch 8 of 10)
Gamma9,G1,G1-1,Gamma9/G1/G1-1 - depth-3 leaf (mixed-depth branch 9 of 10)
Gamma9,G1,G1-2,Gamma9/G1/G1-2 - depth-3 leaf (mixed-depth branch 9 of 10)
Gamma9,G1,G1-3,Gamma9/G1/G1-3 - depth-3 leaf (mixed-depth branch 9 of 10)
Gamma9,G2,,Gamma9/G2 event A - depth-2 leaf sharing a node (branch 9 of 10)
Gamma9,G2,,Gamma9/G2 event B - second event on the same shared leaf (branch 9 of 10)
Gamma10,G1,G1-1,Gamma10/G1/G1-1 - depth-3 leaf (mixed-depth branch 10 of 10)
Gamma10,G1,G1-2,Gamma10/G1/G1-2 - depth-3 leaf (mixed-depth branch 10 of 10)
Gamma10,G1,G1-3,Gamma10/G1/G1-3 - depth-3 leaf (mixed-depth branch 10 of 10)
Gamma10,G2,,Gamma10/G2 event A - depth-2 leaf sharing a node (branch 10 of 10)
Gamma10,G2,,Gamma10/G2 event B - second event on the same shared leaf (branch 10 of 10)
Delta1,,,Delta1 - depth-1 leaf (branch 1 of 10)
Delta2,,,Delta2 - depth-1 leaf (branch 2 of 10)
Delta3,,,Delta3 - depth-1 leaf (branch 3 of 10)
Delta4,,,Delta4 - depth-1 leaf (branch 4 of 10)
Delta5,,,Delta5 - depth-1 leaf (branch 5 of 10)
Delta6,,,Delta6 - depth-1 leaf (branch 6 of 10)
Delta7,,,Delta7 - depth-1 leaf (branch 7 of 10)
Delta8,,,Delta8 - depth-1 leaf (branch 8 of 10)
Delta9,,,Delta9 - depth-1 leaf (branch 9 of 10)
Delta10,,,Delta10 - depth-1 leaf (branch 10 of 10)
